valor
10A AVENIDA
10A RUA
10A TRAVESSA
11A AVENIDA
11A RUA
11A TRAVESSA
12A RUA
12A TRAVESSA
13A TRAVESSA
14A TRAVESSA
15A TRAVESSA
16A TRAVESSA
17A TRAVESSA
18A TRAVESSA
19A TRAVESSA
1A AVENIDA
1A LADEIRA
1 ALTO
1A PARALELA
1A RUA
1A SUBIDA
1A TRAV. DA RODOVIA
1A TRAVESSA
1A TRAVESSA DA RODOV
1A VILA
1 BECO
1O ALTO
1O BECO
1O PARQUE
1 PARALELA
1 PARQUE
20A TRAVESSA
21A TRAVESSA
22A TRAVESSA
2A ALAMEDA
2A AVENIDA
2A LADEIRA
2 ALTO
2A PARALELA
2A RUA
2A SUBIDA
2A TRAV. DA RODOVIA
2A TRAVESSA
2A TRAVESSA DA RODOV
2A VILA
2O ALTO
2O BECO
2O PARQUE
2 PARALELA
2 PARQUE
3A AVENIDA
3A LADEIRA
3  ALTO
3A PARALELA
3A RUA
3A SUBIDA
3A TRAVESSA
3A VILA
3O ALTO
3O BECO
3O PARQUE
3 PARQUE
4A AVENIDA
4A LADEIRA
4A PARALELA
4A RUA
4A SUBIDA
4A TRAVESSA
4A VILA
4O ALTO
4O BECO
5A AVENIDA
5A LADEIRA
5  ALTO
5A PARALELA
5A RUA
5A SUBIDA
5A TRAVESSA
5A VILA
5  BECO
5O ALTO
5O BECO
5 PARALELA
6A AVENIDA
6A RUA
6A SUBIDA
6A TRAVESSA
7A AVENIDA
7A RUA
7A TRAVESSA
8A AVENIDA
8A RUA
8A TRAVESSA
9A RUA
9A TRAVESSA
a
A
ACAMPAMENTO
ACESSO
ACESSO ESTADUAL
ACESSO LOCAL
ADRO
AEROPORTO
ALAMEDA
ALCA DE ACESSO
ALTO
ANEL VIARIO
ANTIGA ESTACAO
ANTIGA ESTRADA
AREA
ÁREA
AREA ESPECIAL
ÁREA ESPECIAL
AREA VERDE
ARTERIA
ARTÉRIA
ATALHO
AVENIDA
AVENIDA CONTORNO
AVENIDA INTEGRACAO
AVENIDA MARGINAL
AVENIDA MARGINAL DIR
AVENIDA MARGINAL ESQ
AVENIDA MARGINAL NOR
AVENIDA PERIMETRAL
AVENIDA VELHA
AV.MARGINAL DIREITA
AV.MARGINAL ESQUERDA
AV.MARGINAL NORTE
AV.PROJETADA
BAIXA
BALAO
BALÃO
BALAO RETORNO
BALNEARIO
BALNEÁRIO
BECO
BECO 1
BECO 2
BECO 3
BELVEDERE
BLOCO
BLOCOS
BOSQUE
BOULEVARD
BULEVAR
BURACO
CAIS
CALCADA
CALÇADA
CALCADAO
CAMINHO
CAMINHO DE SERVIDAO
CAMINHO PART
CAMINHO PEDEST
CAMPO
CAMPUS
CANAL
CHACARA
CHÁCARA
CHAPADAO
CHAPADÃO
CICLOVIA
CIRCULAR
COLINA
COLONIA
COLÔNIA
COMPLEXO VIARIO
COMPLEXO VIÁRIO
COMUNIDADE
CONDOMINIO
CONDOMÍNIO
CONDOMINIO RESIDENCI
CONDOMMNIO
COND. RESIDENCIAL
CONJ. HABITACIONAL
CONJUNTO
CONJUNTO HABITACIONA
CONJUNTO MUTIRAO
CONJUNTO RESIDENCIAL
CONTORNO
CORREDOR
CORREGO
CÓRREGO
DESCIDA
DESVIO
DISTRITO
DIVISA
EDIFICIO
EIXO
EIXO INDUSTRIAL
EIXO PRINCIPAL
ELEVADA
ENSEADA
ENTRADA
ENTRADA PARTICULAR
ENTRE BLOCO
ENTRE QUADRA
ESCADA
ESCADA DE PEDRA
ESCADARIA
ESPACO LIVRE
ESPLANADA
ES. PROJETADA
ESTACAO
ESTAÇÃO
ESTACIONAMENTO
ESTADIO
ESTÁDIO
ESTANCIA
ESTÂNCIA
EST. DE RODAGEM
EST. INTERMUNICIPAL
ESTRADA
ESTRADA ANTIGA
ESTRADA DE FERRO
ESTRADA DE LIGACAO
ESTRADA DE SERVIDAO
ESTRADA ECOTURISTICA
ESTRADA ESTADUAL
ESTRADA INTERMUNICIP
ESTRADA MUNICIPAL
ESTRADA NOVA
ESTRADA PARTICULAR
ESTRADA VELHA
ESTRADA VICINAL
ESTRADA VICINAL MUNI
EST. VIC. MUNICIPAL
EVANGELICA
FAVELA
FAZENDA
FEIRA
FERROVIA
FONTE
FORTE
GALERIA
GLEBA
GRANJA
HABITACIONAL
ILHA
ILHOTA
JARDIM
JARDIM RESIDENCIAL
JARDINETE
LADEIRA
LAGO
LAGOA
LARGO
LOTEAMENTO
MARGEM
MARGINAL
MARINA
MERCADO
MODULO
MÓDULO
MODULO COMERCIAL
MONTE
MORRO
NOVA AVENIDA
NUCLEO
NÚCLEO
NUCLEO HABITACIONAL
NUCLEO RURAL
null
OUTEIRO
OUTROS
PARADA
PARADOURO
PARALELA
PARQUE
PARQUE MUNICIPAL
PARQUE RESIDENCIAL
PASSAGEM
PASSAGEM DE PEDESTRE
PASSAGEM PART
PASSAGEM SUBTERRANEA
PASSAGEM SUBTERRÂNEA
PASSARELA
PASSEIO
PASSEIO PUBLICO
PATIO
PÁTIO
PISTA LATERAL
PONTA
PONTE
PONTILHAO
PORTO
PQ. ECOLOGICO
PQM.ECOLOGICO
PQ.MUN. LAJEADO
PRACA
PRAÇA
PRACA DE ESPORTES
PRAÇA DE ESPORTES
PRACA MANOBRA
PRACA PROJETADA
PRACA RETORNO
PRAGA
PRAIA
PRIMEIRA LADEIRA
PROJECAO
PROLONGAMENTO
PS PROJETADA
QUADRA
QUARTA LADEIRA
QUINTA
QUINTA LADEIRA
QUINTAS
RAMAL
RAMPA
RECANTO
RECREIO
RESIDENCIAL
RETA
RETIRO
RETORNO
RODO ANEL
RODOVIA
RODOVIA MUNICIPAL
ROTATORIA
ROTATÓRIA
ROTULA
RÓTULA
RUA
RUA DE LIGACAO
RUA DE LIGAÇÃO
RUA DE PEDESTRE
RUA INTEGRACAO
RUA PARTICULAR
RUA PRINCIPAL
RUA PROJETADA
RUA VELHA
RUA VICINAL
RUELA
SEGUNDA AVENIDA
SERVIDAO
SERVIDÃO
SERVIDAO DE PASSAGEM
SETOR
SITIO
SÍTIO
SMTIO
SUBIDA
TERCEIRA AVENIDA
TERMINAL
TRAVESSA
TRAVESSA PARTICULAR
TRAVESSA VELHA
TRECHO
TREVO
TRINCHEIRA
TUNEL
TÚNEL
TV PROJETADA
UNIDADE
VALA
VALE
VARIANTE
VARIANTE DA ESTRADA
VEREDA
VIA
VIA CIRC PEDEST
VIA COLETORA
VIA COSTEIRA
VIA DE ACESSO
VIA DE PEDESTRE
VIA DE PEDESTRES
VIADUTO
VIA ELEVADA
VIA ELEVADO
VIA EXPRESSA
VIA LATERAL
VIA LITORANEA
VIA LOCAL
VIA MARGINAL
VIA PEDESTRE
VIA PRINCIPAL
VIELA
VIELA PART
VIELA PROJETADA
VIELA SANITARIA
VILA
VILA PARTICULAR
ZIGUE-ZAGUE
